#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  SDensityOFR SDensityCAR MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 20 0.0678209 62.3045 0 0 62.3045 0.0710172 0 0 3.02036e+11 0 0 0 0 10 2.23813
3 21 0.0710172 60.973 0 0 60.973 0.0743642 0 0 2.98115e+11 0 0 0 0 10 2.34361
3 22 0.0743642 59.6145 0 0 59.6145 0.0778689 0 0 2.94063e+11 0 0 0 0 10 2.45406
3 23 0.0778689 58.2298 0 0 58.2298 0.0815387 0 0 2.89879e+11 0 0 0 0 10 2.56971
3 24 0.0815387 56.8201 0 0 56.8201 0.0853815 0 0 2.85562e+11 0 0 0 0 10 2.69082
3 25 0.0853815 55.3865 0 0 55.3865 0.0894054 0 0 2.8111e+11 0 0 0 0 10 2.81764
3 26 0.0894054 53.9303 0 0 53.9303 0.0936189 0 0 2.76523e+11 0 0 0 0 10 2.95043
3 27 0.0936189 52.4531 0 0 52.4531 0.0980311 0 0 2.718e+11 0 0 0 0 10 3.08948
3 28 0.0980311 50.9565 0 0 50.9565 0.102651 0 0 2.66941e+11 0 0 0 0 10 3.23508
3 29 0.102651 49.4422 0 0 49.4422 0.107489 0 0 2.61946e+11 0 0 0 0 10 3.38754
3 30 0.107489 47.912 0 0 47.912 0.112555 0 0 2.56816e+11 0 0 0 0 10 3.54719
3 31 0.112555 46.3681 0 0 46.3681 0.117859 0 0 2.51551e+11 0 0 0 0 10 3.71437
3 32 0.117859 44.8125 0 0 44.8125 0.123414 0 0 2.46154e+11 0 0 0 0 10 3.88942
3 33 0.123414 43.2477 0 0 43.2477 0.12923 0 0 2.40627e+11 0 0 0 0 10 4.07272
3 34 0.12923 41.6759 0 0 41.6759 0.135321 0 0 2.34972e+11 0 0 0 0 10 4.26466
3 35 0.135321 40.0997 0 0 40.0997 0.141698 0 0 2.29193e+11 0 0 0 0 10 4.46565
3 36 0.141698 38.5218 0 0 38.5218 0.148376 0 0 2.23294e+11 0 0 0 0 10 4.67611
3 37 0.148376 36.9449 0 0 36.9449 0.155369 0 0 2.1728e+11 0 0 0 0 10 4.89649
3 38 0.155369 35.3718 0 0 35.3718 0.162691 0 0 2.11155e+11 0 0 0 0 10 5.12725
3 39 0.162691 33.8055 0 0 33.8055 0.170358 0 0 2.04927e+11 0 0 0 0 10 5.36889
3 40 0.170358 32.2488 0 0 32.2488 0.178387 0 0 1.98603e+11 0 0 0 0 10 5.62192
3 41 0.178387 30.7047 0 0 30.7047 0.186794 0 0 1.92189e+11 0 0 0 0 10 5.88688
3 42 0.186794 29.1764 0 0 29.1764 0.195598 0 0 1.85695e+11 0 0 0 0 10 6.16432
3 43 0.195598 27.6668 0 0 27.6668 0.204816 0 0 1.7913e+11 0 0 0 0 10 6.45483
3 44 0.204816 26.1789 0 0 26.1789 0.214469 0 0 1.72504e+11 0 0 0 0 10 6.75904
3 45 0.214469 24.7158 0 0 24.7158 0.224576 0 0 1.65829e+11 0 0 0 0 10 7.07758
3 46 0.224576 23.2805 0 0 23.2805 0.23516 0 0 1.59115e+11 0 0 0 0 10 7.41114
3 47 0.23516 21.8757 0 0 21.8757 0.246243 0 0 1.52377e+11 0 0 0 0 10 7.76041
3 48 0.246243 20.5044 0 0 20.5044 0.257848 0 0 1.45626e+11 0 0 0 0 10 8.12615
3 49 0.257848 19.169 0 0 19.169 0.27 0 0 1.38878e+11 0 0 0 0 10 8.50912
3 50 0.27 17.8723 0 0 17.8723 0.282725 0 0 1.32146e+11 0 0 0 0 10 8.91015
3 51 0.282725 16.6166 0 0 16.6166 0.296049 0 0 1.25447e+11 0 0 0 0 10 9.33007
3 52 0.296049 15.4041 0 0 15.4041 0.310001 0 0 1.18795e+11 0 0 0 0 10 9.76978
3 53 0.310001 14.2367 0 0 14.2367 0.324611 0 0 1.12208e+11 0 0 0 0 10 10.2302
3 54 0.324611 13.1164 0 0 13.1164 0.33991 0 0 1.05702e+11 0 0 0 0 10 10.7124
3 55 0.33991 12.0446 0 0 12.0446 0.355929 0 0 9.92926e+10 0 0 0 0 10 11.2172
3 56 0.355929 11.0227 0 0 11.0227 0.372704 0 0 9.29975e+10 0 0 0 0 10 11.7459
3 57 0.372704 10.0518 0 0 10.0518 0.390269 0 0 8.68331e+10 0 0 0 0 10 12.2994
3 58 0.390269 9.13252 0 0 9.13252 0.408662 0 0 8.08157e+10 0 0 0 0 10 12.8791
3 59 0.408662 8.26546 0 0 8.26546 0.427921 0 0 7.49611e+10 0 0 0 0 10 13.4861
3 60 0.427921 7.45083 0 0 7.45083 0.448088 0 0 6.92846e+10 0 0 0 0 10 14.1216
3 61 0.448088 6.68853 0 0 6.68853 0.469206 0 0 6.38008e+10 0 0 0 0 10 14.7872
3 62 0.469206 5.97821 0 0 5.97821 0.491319 0 0 5.85232e+10 0 0 0 0 10 15.4841
3 63 0.491319 5.31921 0 0 5.31921 0.514474 0 0 5.34641e+10 0 0 0 0 10 16.2138
3 64 0.514474 4.71062 0 0 4.71062 0.538721 0 0 4.86347e+10 0 0 0 0 10 16.9779
3 65 0.538721 4.15123 0 0 4.15123 0.56411 0 0 4.40446e+10 0 0 0 0 10 17.7781
3 66 0.56411 3.63961 0 0 3.63961 0.590696 0 0 3.97017e+10 0 0 0 0 10 18.6159
3 67 0.590696 3.17408 0 0 3.17408 0.618534 0 0 3.56125e+10 0 0 0 0 10 19.4933
3 68 0.618534 2.75275 0 0 2.75275 0.647685 0 0 3.17811e+10 0 0 0 0 10 20.412
3 69 0.647685 2.37357 0 0 2.37357 0.678209 0 0 2.82103e+10 0 0 0 0 10 21.374
3 70 0.678209 2.03429 0 0 2.03429 0.710172 0 0 2.49004e+10 0 0 0 0 10 22.3813
3 71 0.710172 1.73256 0 0 1.73256 0.743642 0 0 2.18499e+10 0 0 0 0 10 23.4361
3 72 0.743642 1.46592 0 0 1.46592 0.778689 0 0 1.90554e+10 0 0 0 0 10 24.5406
3 73 0.778689 1.23185 0 0 1.23185 0.815387 0 0 1.65115e+10 0 0 0 0 10 25.6971
3 74 0.815387 1.02778 0 0 1.02778 0.853815 0 0 1.42109e+10 0 0 0 0 10 26.9082
3 75 0.853815 0.851138 0 0 0.851138 0.894054 0 0 1.21447e+10 0 0 0 0 10 28.1764
3 76 0.894054 0.69939 0 0 0.69939 0.936189 0 0 1.03023e+10 0 0 0 0 10 29.5043
3 77 0.936189 0.570045 0 0 0.570045 0.980311 0 0 8.67194e+09 0 0 0 0 10 30.8948
3 78 0.980311 0.460695 0 0 0.460695 1.02651 0 0 7.24054e+09 0 0 0 0 10 32.3508
3 79 1.02651 0.369038 0 0 0.369038 1.07489 0 0 5.99423e+09 0 0 0 0 10 33.8754
3 80 1.07489 0.292894 0 0 0.292894 1.12555 0 0 4.91847e+09 0 0 0 0 10 35.4719
3 81 1.12555 0.230226 0 0 0.230226 1.17859 0 0 3.99832e+09 0 0 0 0 10 37.1437
3 82 1.17859 0.179149 0 0 0.179149 1.23414 0 0 3.21874e+09 0 0 0 0 10 38.8942
3 83 1.23414 0.137943 0 0 0.137943 1.2923 0 0 2.56481e+09 0 0 0 0 10 40.7272
3 84 1.2923 0.10505 0 0 0.10505 1.35321 0 0 2.02198e+09 0 0 0 0 10 42.6466
3 85 1.35321 0.079086 0 0 0.079086 1.41698 0 0 1.57627e+09 0 0 0 0 10 44.6565
3 86 1.41698 0.0588273 0 0 0.0588273 1.48376 0 0 1.21447e+09 0 0 0 0 10 46.7611
3 87 1.48376 0.0432114 0 0 0.0432114 1.55369 0 0 9.24287e+08 0 0 0 0 10 48.9649
3 88 1.55369 0.0313266 0 0 0.0313266 1.62691 0 0 6.94446e+08 0 0 0 0 10 51.2725
3 89 1.62691 0.0224008 0 0 0.0224008 1.70358 0 0 5.14775e+08 0 0 0 0 10 53.6889
3 90 1.70358 0.0157899 0 0 0.0157899 1.78387 0 0 3.76244e+08 0 0 0 0 10 56.2192
3 91 1.78387 0.0109641 0 0 0.0109641 1.86794 0 0 2.7096e+08 0 0 0 0 10 58.8688
3 92 1.86794 0.00749464 0 0 0.00749464 1.95598 0 0 1.92142e+08 0 0 0 0 10 61.6432
3 93 1.95598 0.00503964 0 0 0.00503964 2.04816 0 0 1.34061e+08 0 0 0 0 10 64.5483
3 94 2.04816 0.00333113 0 0 0.00333113 2.14469 0 0 9.19636e+07 0 0 0 0 10 67.5904
3 95 2.14469 0.00216265 0 0 0.00216265 2.24576 0 0 6.19749e+07 0 0 0 0 10 70.7758
3 96 2.24576 0.00137792 0 0 0.00137792 2.3516 0 0 4.09956e+07 0 0 0 0 10 74.1114
3 97 2.3516 0.000860851 0 0 0.000860851 2.46243 0 0 2.6595e+07 0 0 0 0 10 77.6041
3 98 2.46243 0.000526873 0 0 0.000526873 2.57848 0 0 1.69047e+07 0 0 0 0 10 81.2615
3 99 2.57848 0.000315606 0 0 0.000315606 2.7 0 0 1.05181e+07 0 0 0 0 10 85.0912
3 100 2.7 0.000184847 0 0 0.000184847 2.82725 0 0 6.39967e+06 0 0 0 0 10 89.1015
3 101 2.82725 0.000105744 0 0 0.000105744 2.96049 0 0 3.80371e+06 0 0 0 0 10 93.3007
3 102 2.96049 5.90206e-05 0 0 5.90206e-05 3.10001 0 0 2.20602e+06 0 0 0 0 10 97.6978
3 103 3.10001 3.21037e-05 0 0 3.21037e-05 3.24611 0 0 1.24698e+06 0 0 0 0 10 102.302
3 104 3.24611 1.69977e-05 0 0 1.69977e-05 3.3991 0 0 686175 0 0 0 0 10 107.124
3 105 3.3991 8.74915e-06 0 0 8.74915e-06 3.55929 0 0 367099 0 0 0 0 10 112.172
3 106 3.55929 4.37229e-06 0 0 4.37229e-06 3.72704 0 0 190691 0 0 0 0 10 117.459
3 107 3.72704 2.11847e-06 0 0 2.11847e-06 3.90269 0 0 96043.9 0 0 0 0 10 122.994
3 108 3.90269 9.93753e-07 0 0 9.93753e-07 4.08662 0 0 46835.2 0 0 0 0 10 128.791
3 109 4.08662 4.50631e-07 0 0 4.50631e-07 4.27921 0 0 22078.8 0 0 0 0 10 134.861
3 110 4.27921 1.97226e-07 0 0 1.97226e-07 4.48088 0 0 10045.8 0 0 0 0 10 141.216
3 111 4.48088 8.31733e-08 0 0 8.31733e-08 4.69206 0 0 4404.33 0 0 0 0 10 147.872
3 112 4.69206 3.37387e-08 0 0 3.37387e-08 4.91319 0 0 1857.36 0 0 0 0 10 154.841
3 113 4.91319 1.31404e-08 0 0 1.31404e-08 5.14474 0 0 752.04 0 0 0 0 10 162.138
3 114 5.14474 4.90448e-09 0 0 4.90448e-09 5.38721 0 0 291.796 0 0 0 0 10 169.779
3 115 5.38721 1.75072e-09 0 0 1.75072e-09 5.6411 0 0 108.278 0 0 0 0 10 177.781
3 116 5.6411 5.96449e-10 0 0 5.96449e-10 5.90696 0 0 38.3453 0 0 0 0 10 186.159
3 117 5.90696 1.93513e-10 0 0 1.93513e-10 6.18534 0 0 12.9311 0 0 0 0 10 194.933
3 118 6.18534 5.96527e-11 0 0 5.96527e-11 6.47685 0 0 4.14297 0 0 0 0 10 204.12
3 119 6.47685 1.74297e-11 0 0 1.74297e-11 6.78209 0 0 1.25803 0 0 0 0 10 213.74
3 120 6.78209 4.81505e-12 0 0 4.81505e-12 7.10172 0 0 0.36114 0 0 0 0 10 223.813
3 121 7.10172 1.25434e-12 0 0 1.25434e-12 7.43642 0 0 0.0977496 0 0 0 0 10 234.361
3 122 7.43642 3.07278e-13 0 0 3.07278e-13 7.78689 0 0 0.0248775 0 0 0 0 10 245.406
3 123 7.78689 7.0583e-14 0 0 7.0583e-14 8.15387 0 0 0.00593593 0 0 0 0 10 256.971
3 124 8.15387 1.51567e-14 0 0 1.51567e-14 8.53815 0 0 0.00132386 0 0 0 0 10 269.082
3 125 8.53815 3.03295e-15 0 0 3.03295e-15 8.94054 0 0 0.000275097 0 0 0 0 10 281.764
3 126 8.94054 5.63694e-16 0 0 5.63694e-16 9.36189 0 0 5.30847e-05 0 0 0 0 10 295.043
3 127 9.36189 9.69677e-17 0 0 9.69677e-17 9.80311 0 0 9.47936e-06 0 0 0 0 10 308.948
3 128 9.80311 1.53828e-17 0 0 1.53828e-17 10.2651 0 0 1.56073e-06 0 0 0 0 10 323.508
3 129 10.2651 2.24187e-18 0 0 2.24187e-18 10.7489 0 0 2.36023e-07 0 0 0 0 10 338.754
3 130 10.7489 2.98964e-19 0 0 2.98964e-19 11.2555 0 0 3.26525e-08 0 0 0 0 10 354.719
3 131 11.2555 3.63282e-20 0 0 3.63282e-20 11.7859 0 0 4.11523e-09 0 0 0 0 10 371.437
3 132 11.7859 4.00481e-21 0 0 4.00481e-21 12.3414 0 0 4.70412e-10 0 0 0 0 10 388.942
3 133 12.3414 3.98695e-22 0 0 3.98695e-22 12.923 0 0 4.85481e-11 0 0 0 0 10 407.272
3 134 12.923 3.56724e-23 0 0 3.56724e-23 13.5321 0 0 4.50176e-12 0 0 0 0 10 426.466
3 135 13.5321 2.85412e-24 0 0 2.85412e-24 14.1698 0 0 3.7318e-13 0 0 0 0 10 446.565
3 136 14.1698 2.03129e-25 0 0 2.03129e-25 14.8376 0 0 2.75098e-14 0 0 0 0 10 467.611
3 137 14.8376 1.27889e-26 0 0 1.27889e-26 15.5369 0 0 1.79343e-15 0 0 0 0 10 489.649
3 138 15.5369 7.08187e-28 0 0 7.08187e-28 16.2691 0 0 1.02801e-16 0 0 0 0 10 512.725
3 139 16.2691 3.42835e-29 0 0 3.42835e-29 17.0358 0 0 5.14984e-18 0 0 0 0 10 536.889
3 140 17.0358 1.44176e-30 0 0 1.44176e-30 17.8387 0 0 2.24033e-19 0 0 0 0 10 562.192
3 141 17.8387 5.23224e-32 0 0 5.23224e-32 18.6794 0 0 8.40745e-21 0 0 0 0 10 588.688
3 142 18.6794 1.62724e-33 0 0 1.62724e-33 19.5598 0 0 2.70289e-22 0 0 0 0 10 616.432
3 143 19.5598 4.30546e-35 0 0 4.30546e-35 20.4816 0 0 7.3899e-24 0 0 0 0 10 645.483
3 144 20.4816 9.61797e-37 0 0 9.61797e-37 21.4469 0 0 1.70521e-25 0 0 0 0 10 675.904
3 145 21.4469 1.7996e-38 0 0 1.7996e-38 22.4576 0 0 3.29437e-27 0 0 0 0 10 707.758
3 146 22.4576 2.79681e-40 0 0 2.79681e-40 23.516 0 0 5.28432e-29 0 0 0 0 10 741.114
3 147 23.516 3.57886e-42 0 0 3.57886e-42 24.6243 0 0 6.97623e-31 0 0 0 0 10 776.041
3 148 24.6243 3.73628e-44 0 0 3.73628e-44 25.7848 0 0 7.51069e-33 0 0 0 0 10 812.615
3 149 25.7848 3.15192e-46 0 0 3.15192e-46 27 0 0 6.53121e-35 0 0 0 0 10 850.912
3 150 27 2.12709e-48 0 0 2.12709e-48 28.2725 0 0 4.5414e-37 0 0 0 0 10 891.015
3 151 28.2725 1.13632e-50 0 0 1.13632e-50 29.6049 0 0 2.49857e-39 0 0 0 0 10 933.007
3 152 29.6049 4.75257e-53 0 0 4.75257e-53 31.0001 0 0 1.07574e-41 0 0 0 0 10 976.978
3 153 31.0001 1.53835e-55 0 0 1.53835e-55 32.4611 0 0 3.58275e-44 0 0 0 0 10 1023.02
3 154 32.4611 3.80742e-58 0 0 3.80742e-58 33.991 0 0 9.11938e-47 0 0 0 0 10 1071.24
3 155 33.991 7.11469e-61 0 0 7.11469e-61 35.5929 0 0 1.75167e-49 0 0 0 0 10 1121.72
3 156 35.5929 9.9054e-64 0 0 9.9054e-64 37.2704 0 0 2.5056e-52 0 0 0 0 10 1174.59
3 157 37.2704 1.01333e-66 0 0 1.01333e-66 39.0269 0 0 2.63217e-55 0 0 0 0 10 1229.94
3 158 39.0269 7.50715e-70 0 0 7.50715e-70 40.8662 0 0 2.00142e-58 0 0 0 0 10 1287.91
3 159 40.8662 3.96675e-73 0 0 3.96675e-73 42.7921 0 0 1.08485e-61 0 0 0 0 10 1348.61
3 160 42.7921 1.47132e-76 0 0 1.47132e-76 44.8088 0 0 4.12554e-65 0 0 0 0 10 1412.16
3 161 44.8088 3.76737e-80 0 0 3.76737e-80 46.9206 0 0 1.08248e-68 0 0 0 0 10 1478.72
3 162 46.9206 6.5439e-84 0 0 6.5439e-84 49.1319 0 0 1.92568e-72 0 0 0 0 10 1548.41
3 163 49.1319 7.571e-88 0 0 7.571e-88 51.4474 0 0 2.28049e-76 0 0 0 0 10 1621.38
3 164 51.4474 5.72348e-92 0 0 5.72348e-92 53.8721 0 0 1.76367e-80 0 0 0 0 10 1697.79
3 165 53.8721 2.77102e-96 0 0 2.77102e-96 56.411 0 0 8.73036e-85 0 0 0 0 10 1777.81
3 166 56.411 8.4132e-101 0 0 8.4132e-101 59.0696 0 0 2.70858e-89 0 0 0 0 10 1861.59
3 167 59.0696 1.56699e-105 0 0 1.56699e-105 61.8534 0 0 5.15206e-94 0 0 0 0 10 1949.33
3 168 61.8534 1.74961e-110 0 0 1.74961e-110 64.7685 0 0 5.87134e-99 0 0 0 0 10 2041.2
3 169 64.7685 1.14315e-115 0 0 1.14315e-115 67.8209 0 0 3.91315e-104 0 0 0 0 10 2137.4
3 170 67.8209 4.26162e-121 0 0 4.26162e-121 71.0172 0 0 1.4872e-109 0 0 0 0 10 2238.13
3 171 71.0172 8.82796e-127 0 0 8.82796e-127 74.3642 0 0 3.13882e-115 0 0 0 0 10 2343.61
3 172 74.3642 9.88377e-133 0 0 9.88377e-133 77.8689 0 0 3.57833e-121 0 0 0 0 10 2454.06
3 173 77.8689 5.80972e-139 0 0 5.80972e-139 81.5387 0 0 2.14046e-127 0 0 0 0 10 2569.71
3 174 81.5387 1.73924e-145 0 0 1.73924e-145 85.3815 0 0 6.51693e-134 0 0 0 0 10 2690.82
3 175 85.3815 2.5687e-152 0 0 2.5687e-152 89.4054 0 0 9.78292e-141 0 0 0 0 10 2817.64
3 176 89.4054 1.81027e-159 0 0 1.81027e-159 93.6189 0 0 7.00339e-148 0 0 0 0 10 2950.43
3 177 93.6189 5.87884e-167 0 0 5.87884e-167 98.0311 0 0 2.30891e-155 0 0 0 0 10 3089.48
3 178 98.0311 8.48181e-175 0 0 8.48181e-175 102.651 0 0 3.37983e-163 0 0 0 0 10 3235.08
3 179 102.651 5.23258e-183 0 0 5.23258e-183 107.489 0 0 2.11424e-171 0 0 0 0 10 3387.54
3 180 107.489 1.32608e-191 0 0 1.32608e-191 112.555 0 0 5.42977e-180 0 0 0 0 10 3547.19
3 181 112.555 1.32382e-200 0 0 1.32382e-200 117.859 0 0 5.48982e-189 0 0 0 0 10 3714.37
3 182 117.859 4.98208e-210 0 0 4.98208e-210 123.414 0 0 2.09123e-198 0 0 0 0 10 3889.42
3 183 123.414 6.75047e-220 0 0 6.75047e-220 129.23 0 0 2.8664e-208 0 0 0 0 10 4072.72
3 184 129.23 3.13816e-230 0 0 3.13816e-230 135.321 0 0 1.34722e-218 0 0 0 0 10 4264.66
3 185 135.321 4.7591e-241 0 0 4.7591e-241 141.698 0 0 2.06443e-229 0 0 0 0 10 4465.65
3 186 141.698 2.23327e-252 0 0 2.23327e-252 148.376 0 0 9.78329e-241 0 0 0 0 10 4676.11
3 187 148.376 3.06831e-264 0 0 3.06831e-264 155.369 0 0 1.35666e-252 0 0 0 0 10 4896.49
3 188 155.369 1.16478e-276 0 0 1.16478e-276 162.691 0 0 5.19524e-265 0 0 0 0 10 5127.25
3 189 162.691 1.14983e-289 0 0 1.14983e-289 170.358 0 0 5.17073e-278 0 0 0 0 10 5368.89
3 190 170.358 2.77001e-303 0 0 2.77001e-303 178.387 0 0 1.25525e-291 0 0 0 0 10 5621.92
3 191 178.387 1.52373e-317 0 0 1.52373e-317 186.794 0 0 6.95443e-306 0 0 0 0 10 5886.88
3 192 186.794 0 0 0 0 195.598 0 0 0 0 0 0 0 10 6164.32
3 193 195.598 0 0 0 0 204.816 0 0 0 0 0 0 0 10 6454.83
3 194 204.816 0 0 0 0 214.469 0 0 0 0 0 0 0 10 6759.04
3 195 214.469 0 0 0 0 224.576 0 0 0 0 0 0 0 10 7077.58
3 196 224.576 0 0 0 0 235.16 0 0 0 0 0 0 0 10 7411.14
3 197 235.16 0 0 0 0 246.243 0 0 0 0 0 0 0 10 7760.41
3 198 246.243 0 0 0 0 257.848 0 0 0 0 0 0 0 10 8126.15
3 199 257.848 0 0 0 0 270 0 0 0 0 0 0 0 10 8509.12
2.5 0 0.027 114.988 0 0 114.988 0.0282725 0 0 3.98787e+11 0 0 0 0 10 0.891015
2.5 1 0.0282725 114.092 0 0 114.092 0.0296049 0 0 3.97166e+11 0 0 0 0 10 0.933007
2.5 2 0.0296049 113.164 0 0 113.164 0.0310001 0 0 3.95475e+11 0 0 0 0 10 0.976978
2.5 3 0.0310001 112.202 0 0 112.202 0.0324611 0 0 3.93712e+11 0 0 0 0 10 1.02302
2.5 4 0.0324611 111.206 0 0 111.206 0.033991 0 0 3.91874e+11 0 0 0 0 10 1.07124
2.5 5 0.033991 110.174 0 0 110.174 0.0355929 0 0 3.89959e+11 0 0 0 0 10 1.12172
2.5 6 0.0355929 109.107 0 0 109.107 0.0372704 0 0 3.87964e+11 0 0 0 0 10 1.17459
2.5 7 0.0372704 108.004 0 0 108.004 0.0390269 0 0 3.85886e+11 0 0 0 0 10 1.22994
2.5 8 0.0390269 106.863 0 0 106.863 0.0408662 0 0 3.83722e+11 0 0 0 0 10 1.28791
2.5 9 0.0408662 105.685 0 0 105.685 0.0427921 0 0 3.81468e+11 0 0 0 0 10 1.34861
2.5 10 0.0427921 104.469 0 0 104.469 0.0448088 0 0 3.79123e+11 0 0 0 0 10 1.41216
2.5 11 0.0448088 103.214 0 0 103.214 0.0469206 0 0 3.76683e+11 0 0 0 0 10 1.47872
2.5 12 0.0469206 101.92 0 0 101.92 0.0491319 0 0 3.74144e+11 0 0 0 0 10 1.54841
2.5 13 0.0491319 100.587 0 0 100.587 0.0514474 0 0 3.71504e+11 0 0 0 0 10 1.62138
2.5 14 0.0514474 99.2135 0 0 99.2135 0.0538721 0 0 3.6876e+11 0 0 0 0 10 1.69779
2.5 15 0.0538721 97.8008 0 0 97.8008 0.056411 0 0 3.65908e+11 0 0 0 0 10 1.77781
2.5 16 0.056411 96.3481 0 0 96.3481 0.0590696 0 0 3.62945e+11 0 0 0 0 10 1.86159
2.5 17 0.0590696 94.8555 0 0 94.8555 0.0618534 0 0 3.59868e+11 0 0 0 0 10 1.94933
2.5 18 0.0618534 93.3231 0 0 93.3231 0.0647685 0 0 3.56675e+11 0 0 0 0 10 2.0412
2.5 19 0.0647685 91.7512 0 0 91.7512 0.0678209 0 0 3.53361e+11 0 0 0 0 10 2.1374
2.5 20 0.0678209 90.14 0 0 90.14 0.0710172 0 0 3.49924e+11 0 0 0 0 10 2.23813
2.5 21 0.0710172 88.4901 0 0 88.4901 0.0743642 0 0 3.46361e+11 0 0 0 0 10 2.34361
2.5 22 0.0743642 86.8021 0 0 86.8021 0.0778689 0 0 3.42669e+11 0 0 0 0 10 2.45406
2.5 23 0.0778689 85.0766 0 0 85.0766 0.0815387 0 0 3.38845e+11 0 0 0 0 10 2.56971
2.5 24 0.0815387 83.3146 0 0 83.3146 0.0853815 0 0 3.34886e+11 0 0 0 0 10 2.69082
2.5 25 0.0853815 81.5171 0 0 81.5171 0.0894054 0 0 3.30791e+11 0 0 0 0 10 2.81764
2.5 26 0.0894054 79.6852 0 0 79.6852 0.0936189 0 0 3.26556e+11 0 0 0 0 10 2.95043
2.5 27 0.0936189 77.8205 0 0 77.8205 0.0980311 0 0 3.22179e+11 0 0 0 0 10 3.08948
2.5 28 0.0980311 75.9243 0 0 75.9243 0.102651 0 0 3.1766e+11 0 0 0 0 10 3.23508
2.5 29 0.102651 73.9984 0 0 73.9984 0.107489 0 0 3.12995e+11 0 0 0 0 10 3.38754
2.5 30 0.107489 72.0445 0 0 72.0445 0.112555 0 0 3.08183e+11 0 0 0 0 10 3.54719
2.5 31 0.112555 70.0648 0 0 70.0648 0.117859 0 0 3.03225e+11 0 0 0 0 10 3.71437
2.5 32 0.117859 68.0614 0 0 68.0614 0.123414 0 0 2.98118e+11 0 0 0 0 10 3.88942
2.5 33 0.123414 66.0367 0 0 66.0367 0.12923 0 0 2.92862e+11 0 0 0 0 10 4.07272
2.5 34 0.12923 63.9932 0 0 63.9932 0.135321 0 0 2.87458e+11 0 0 0 0 10 4.26466
2.5 35 0.135321 61.9336 0 0 61.9336 0.141698 0 0 2.81907e+11 0 0 0 0 10 4.46565
2.5 36 0.141698 59.8607 0 0 59.8607 0.148376 0 0 2.76208e+11 0 0 0 0 10 4.67611
2.5 37 0.148376 57.7776 0 0 57.7776 0.155369 0 0 2.70364e+11 0 0 0 0 10 4.89649
2.5 38 0.155369 55.6874 0 0 55.6874 0.162691 0 0 2.64378e+11 0 0 0 0 10 5.12725
2.5 39 0.162691 53.5933 0 0 53.5933 0.170358 0 0 2.58251e+11 0 0 0 0 10 5.36889
2.5 40 0.170358 51.4988 0 0 51.4988 0.178387 0 0 2.51988e+11 0 0 0 0 10 5.62192
2.5 41 0.178387 49.4074 0 0 49.4074 0.186794 0 0 2.45592e+11 0 0 0 0 10 5.88688
