#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
66 0.56411 52.1486 0 0 52.1486 0.590696 4.91673e+07 0 9.49814e+07 8612.48 6680.03 35204.2 8684.27 0.0856763 0 0 0 0 0 0 0 0 0 0 10 18.6159
67 0.590696 49.1824 0 0 49.1824 0.618534 5.34744e+07 0 1.00182e+08 9423.33 6340.54 35767.8 8621.83 0.0940465 0 0 0 0 0 0 0 0 0 0 10 19.4933
68 0.618534 46.3004 0 0 46.3004 0.647685 5.81393e+07 0 1.0555e+08 10306.6 6015.41 36328.8 8584.49 0.102888 0 0 0 0 0 0 0 0 0 0 10 20.412
69 0.647685 43.5055 0 0 43.5055 0.678209 6.31892e+07 0 1.1108e+08 11268.2 5704.14 36886.6 8545.58 0.112529 0 0 0 0 0 0 0 0 0 0 10 21.374
70 0.678209 40.8008 0 0 40.8008 0.710172 6.86531e+07 0 1.16767e+08 12314.6 5406.28 37440.4 8505.16 0.123036 0 0 0 0 0 0 0 0 0 0 10 22.3813
71 0.710172 38.1885 0 0 38.1885 0.743642 7.45618e+07 0 1.22603e+08 13452.8 5121.34 37989.5 8463.14 0.134483 0 0 0 0 0 0 0 0 0 0 10 23.4361
72 0.743642 35.6708 0 0 35.6708 0.778689 8.09479e+07 0 1.28581e+08 14690 4848.9 38533.4 8419.53 0.14695 0 0 0 0 0 0 0 0 0 0 10 24.5406
73 0.778689 33.2497 0 0 33.2497 0.815387 8.78461e+07 0 1.3469e+08 16034.3 4588.5 39071.1 8374.36 0.160522 0 0 0 0 0 0 0 0 0 0 10 25.6971
74 0.815387 30.9263 0 0 30.9263 0.853815 9.52931e+07 0 1.4092e+08 17494.1 4339.73 39602 8327.58 0.175291 0 0 0 0 0 0 0 0 0 0 10 26.9082
75 0.853815 28.7019 0 0 28.7019 0.894054 1.03328e+08 0 1.4726e+08 19078.3 4102.18 40125.3 8357.79 0.189556 0 0 0 0 0 0 0 0 0 0 10 28.1764
76 0.894054 26.5772 0 0 26.5772 0.936189 1.11991e+08 0 1.53697e+08 20796.8 3875.45 40640.3 8435.48 0.203717 0 0 0 0 0 0 0 0 0 0 10 29.5043
77 0.936189 24.5524 0 0 24.5524 0.980311 1.21326e+08 0 1.60218e+08 22659.7 3659.15 41146.1 8507.97 0.218963 0 0 0 0 0 0 0 0 0 0 10 30.8948
78 0.980311 22.6276 0 0 22.6276 1.02651 1.31378e+08 0 1.66807e+08 24678.1 3452.91 41642 8575.09 0.235376 0 0 0 0 0 0 0 0 0 0 10 32.3508
79 1.02651 20.8022 0 0 20.8022 1.07489 1.42195e+08 0 1.73448e+08 26863.6 3256.36 42127.2 8636.5 0.253052 0 0 0 0 0 0 0 0 0 0 10 33.8754
80 1.07489 19.0757 0 0 19.0757 1.12555 1.53827e+08 0 1.80126e+08 29228.6 3069.14 42600.9 8692.03 0.272089 0 0 0 0 0 0 0 0 0 0 10 35.4719
81 1.12555 17.4469 0 0 17.4469 1.17859 1.66327e+08 0 1.86823e+08 31786.3 2890.9 43062.3 8741.44 0.292594 0 0 0 0 0 0 0 0 0 0 10 37.1437
82 1.17859 15.9143 0 0 15.9143 1.23414 1.79749e+08 0 1.9352e+08 34550.6 2721.32 43510.6 8784.52 0.314686 0 0 0 0 0 0 0 0 0 0 10 38.8942
83 1.23414 14.4763 0 0 14.4763 1.2923 1.94151e+08 0 2.002e+08 37536.5 2560.06 43944.9 8821.08 0.338489 0 0 0 0 0 0 0 0 0 0 10 40.7272
84 1.2923 13.1308 0 0 13.1308 1.35321 2.09592e+08 0 2.06844e+08 40759.5 2406.81 44364.6 8850.91 0.364142 0 0 0 0 0 0 0 0 0 0 10 42.6466
85 1.35321 11.8755 0 0 11.8755 1.41698 2.26134e+08 0 2.13432e+08 44236.1 2261.26 44768.8 8909.81 0.390209 0 0 0 0 0 0 0 0 0 0 10 44.6565
86 1.41698 10.7077 0 0 10.7077 1.48376 2.43841e+08 0 2.19945e+08 47984 2123.1 45156.7 9065.45 0.413425 0 0 0 0 0 0 0 0 0 0 10 46.7611
87 1.48376 9.62482 0 0 9.62482 1.55369 2.6278e+08 0 2.26364e+08 52021.6 1992.05 45527.6 9208.97 0.438434 0 0 0 0 0 0 0 0 0 0 10 48.9649
88 1.55369 8.62369 0 0 8.62369 1.62691 2.83019e+08 0 2.3267e+08 56368.2 1867.82 45880.8 9339.45 0.465402 0 0 0 0 0 0 0 0 0 0 10 51.2725
89 1.62691 7.70116 0 0 7.70116 1.70358 3.0463e+08 0 2.38845e+08 61044.3 1750.13 46215.5 9456.15 0.494505 0 0 0 0 0 0 0 0 0 0 10 53.6889
90 1.70358 6.85388 0 0 6.85388 1.78387 3.27683e+08 0 2.4487e+08 66071.4 1638.71 46531.1 9558.29 0.525942 0 0 0 0 0 0 0 0 0 0 10 56.2192
91 1.78387 6.07835 0 0 6.07835 1.86794 3.52254e+08 0 2.50729e+08 71472 1533.31 46826.9 9645.19 0.559932 0 0 0 0 0 0 0 0 0 0 10 58.8688
92 1.86794 5.371 0 0 5.371 1.95598 3.7842e+08 0 2.56405e+08 77269.9 1433.67 47102.2 9716.24 0.596715 0 0 0 0 0 0 0 0 0 0 10 61.6432
93 1.95598 4.72816 0 0 4.72816 2.04816 4.06257e+08 0 2.61884e+08 83489.6 1339.55 47356.5 9770.99 0.636553 0 0 0 0 0 0 0 0 0 0 10 64.5483
94 2.04816 4.14613 0 0 4.14613 2.14469 4.35844e+08 0 2.67151e+08 90157.2 1250.69 47589.3 9808.95 0.679742 0 0 0 0 0 0 0 0 0 0 10 67.5904
95 2.14469 3.62119 0 0 3.62119 2.24576 4.67262e+08 0 2.72196e+08 97299.6 1166.89 47799.9 9829.8 0.726606 0 0 0 0 0 0 0 0 0 0 10 70.7758
96 2.24576 3.14961 0 0 3.14961 2.3516 5.00591e+08 0 2.77006e+08 104945 1087.89 47988 9833.28 0.777506 0 0 0 0 0 0 0 0 0 0 10 74.1114
97 2.3516 2.72771 0 0 2.72771 2.46243 5.35913e+08 0 2.81574e+08 113123 1013.5 48153.1 9819.3 0.832834 0 0 0 0 0 0 0 0 0 0 10 77.6041
98 2.46243 2.35185 0 0 2.35185 2.57848 5.73311e+08 0 2.85891e+08 121864 943.491 48294.8 9787.85 0.89303 0 0 0 0 0 0 0 0 0 0 10 81.2615
99 2.57848 2.01848 0 0 2.01848 2.7 6.12865e+08 0 2.89955e+08 131199 877.663 48412.8 9738.96 0.958586 0 0 0 0 0 0 0 0 0 0 10 85.0912
100 2.7 1.72413 0 0 1.72413 2.82725 6.54659e+08 0 2.9376e+08 141163 815.816 48506.9 9672.85 1.03004 0 0 0 0 0 0 0 0 0 0 10 89.1015
101 2.82725 1.46544 0 0 1.46544 2.96049 6.98773e+08 0 2.97306e+08 151788 757.758 48576.8 9589.81 1.10799 0 0 0 0 0 0 0 0 0 0 10 93.3007
102 2.96049 1.23922 0 0 1.23922 3.10001 7.45289e+08 0 3.00593e+08 163111 703.301 48622.3 9490.27 1.1931 0 0 0 0 0 0 0 0 0 0 10 97.6978
103 3.10001 1.04236 0 0 1.04236 3.24611 7.94286e+08 0 3.03625e+08 175168 652.265 48643.4 9374.74 1.28612 0 0 0 0 0 0 0 0 0 0 10 102.302
104 3.24611 0.871963 0 0 0.871963 3.3991 8.45843e+08 0 3.06406e+08 187997 604.476 48640.1 9243.83 1.38785 0 0 0 0 0 0 0 0 0 0 10 107.124
105 3.3991 0.725261 0 0 0.725261 3.55929 9.00036e+08 0 3.08941e+08 201637 559.767 48612.3 9098.24 1.49922 0 0 0 0 0 0 0 0 0 0 10 112.172
106 3.55929 0.599669 0 0 0.599669 3.72704 9.56941e+08 0 3.1124e+08 216129 517.974 48560.2 8938.73 1.62124 0 0 0 0 0 0 0 0 0 0 10 117.459
107 3.72704 0.492776 0 0 0.492776 3.90269 1.01663e+09 0 3.1331e+08 231514 478.943 48483.9 8766.19 1.75504 0 0 0 0 0 0 0 0 0 0 10 122.994
108 3.90269 0.402349 0 0 0.402349 4.08662 1.07917e+09 0 3.15164e+08 247835 442.521 48383.5 8581.51 1.90189 0 0 0 0 0 0 0 0 0 0 10 128.791
109 4.08662 0.326333 0 0 0.326333 4.27921 1.14463e+09 0 3.16812e+08 265137 408.566 48259.5 8385.74 2.06317 0 0 0 0 0 0 0 0 0 0 10 134.861
110 4.27921 0.262849 0 0 0.262849 4.48088 1.21308e+09 0 3.18268e+08 283463 376.937 48112.1 8179.85 2.24047 0 0 0 0 0 0 0 0 0 0 10 141.216
111 4.48088 0.210193 0 0 0.210193 4.69206 1.28457e+09 0 3.19544e+08 302862 347.502 47941.6 7964.96 2.4355 0 0 0 0 0 0 0 0 0 0 10 147.872
112 4.69206 0.166828 0 0 0.166828 4.91319 1.35917e+09 0 3.20654e+08 323380 320.132 47748.7 7742.18 2.65022 0 0 0 0 0 0 0 0 0 0 10 154.841
113 4.91319 0.131378 0 0 0.131378 5.14474 1.43691e+09 0 3.21612e+08 345068 294.706 47533.6 7512.56 2.8868 0 0 0 0 0 0 0 0 0 0 10 162.138
114 5.14474 0.102621 0 0 0.102621 5.38721 1.51787e+09 0 3.22433e+08 367974 271.106 47297.1 7277.31 3.14764 0 0 0 0 0 0 0 0 0 0 10 169.779
115 5.38721 0.0794808 0 0 0.0794808 5.6411 1.60206e+09 0 3.2313e+08 392151 249.221 47039.8 7037.54 3.43542 0 0 0 0 0 0 0 0 0 0 10 177.781
116 5.6411 0.0610161 0 0 0.0610161 5.90696 1.68955e+09 0 3.23716e+08 417651 228.944 46762.2 6794.31 3.75319 0 0 0 0 0 0 0 0 0 0 10 186.159
117 5.90696 0.0464107 0 0 0.0464107 6.18534 1.78035e+09 0 3.24205e+08 444529 210.174 46465.2 6548.72 4.10429 0 0 0 0 0 0 0 0 0 0 10 194.933
118 6.18534 0.0349632 0 0 0.0349632 6.47685 1.87451e+09 0 3.24608e+08 472840 192.813 46149.4 6301.86 4.49245 0 0 0 0 0 0 0 0 0 0 10 204.12
119 6.47685 0.0260761 0 0 0.0260761 6.78209 1.97205e+09 0 3.24939e+08 502640 176.77 45815.7 6054.73 4.92186 0 0 0 0 0 0 0 0 0 0 10 213.74
120 6.78209 0.0192451 0 0 0.0192451 7.10172 2.07298e+09 0 3.25205e+08 533989 161.957 45464.8 5808.28 5.39721 0 0 0 0 0 0 0 0 0 0 10 223.813
121 7.10172 0.014049 0 0 0.014049 7.43642 2.17733e+09 0 3.25419e+08 566945 148.293 45097.8 5563.44 5.92369 0 0 0 0 0 0 0 0 0 0 10 234.361
122 7.43642 0.0101393 0 0 0.0101393 7.78689 2.2851e+09 0 3.25588e+08 601570 135.698 44715.4 5321.04 6.50717 0 0 0 0 0 0 0 0 0 0 10 245.406
123 7.78689 0.00723086 0 0 0.00723086 8.15387 2.39631e+09 0 3.2572e+08 637926 124.099 44318.6 5154.34 7.05358 0 0 0 0 0 0 0 0 0 0 10 256.971
124 8.15387 0.00509279 0 0 0.00509279 8.53815 2.51094e+09 0 3.25822e+08 676079 113.425 43908.4 4998.83 7.63232 0 0 0 0 0 0 0 0 0 0 10 269.082
125 8.53815 0.00354051 0 0 0.00354051 8.94054 2.629e+09 0 3.259e+08 716094 103.611 43485.7 4844.72 8.2595 0 0 0 0 0 0 0 0 0 0 10 281.764
126 8.94054 0.00242808 0 0 0.00242808 9.36189 2.75048e+09 0 3.25958e+08 758040 94.5956 43051.5 4692.31 8.93921 0 0 0 0 0 0 0 0 0 0 10 295.043
127 9.36189 0.00164165 0 0 0.00164165 9.80311 2.87537e+09 0 3.26001e+08 801986 86.3192 42606.9 4541.84 9.67591 0 0 0 0 0 0 0 0 0 0 10 308.948
128 9.80311 0.00109355 0 0 0.00109355 10.2651 3.00364e+09 0 3.26033e+08 848006 78.7277 42152.8 4393.55 10.4744 0 0 0 0 0 0 0 0 0 0 10 323.508
129 10.2651 0.000717199 0 0 0.000717199 10.7489 3.13528e+09 0 3.26056e+08 896173 71.7695 41690.3 4247.64 11.3399 0 0 0 0 0 0 0 0 0 0 10 338.754
130 10.7489 0.000462785 0 0 0.000462785 11.2555 3.27025e+09 0 3.26072e+08 946566 65.3966 41220.4 4104.34 12.278 0 0 0 0 0 0 0 0 0 0 10 354.719
131 11.2555 0.000293583 0 0 0.000293583 11.7859 3.40854e+09 0 3.26083e+08 999265 59.564 40744.1 3963.82 13.2949 0 0 0 0 0 0 0 0 0 0 10 371.437
132 11.7859 0.00018296 0 0 0.00018296 12.3414 3.5501e+09 0 3.2609e+08 1.05435e+06 54.2297 40262.4 3826.24 14.3973 0 0 0 0 0 0 0 0 0 0 10 388.942
133 12.3414 0.000111917 0 0 0.000111917 12.923 3.69489e+09 0 3.26095e+08 1.11192e+06 49.3544 39776.4 3695.57 15.5761 0 0 0 0 0 0 0 0 0 0 10 407.272
134 12.923 6.71399e-05 0 0 6.71399e-05 13.5321 3.84289e+09 0 3.26099e+08 1.17204e+06 44.9017 39287.1 3617.51 16.6215 0 0 0 0 0 0 0 0 0 0 10 426.466
135 13.5321 3.94653e-05 0 0 3.94653e-05 14.1698 3.99403e+09 0 3.26101e+08 1.23483e+06 40.8376 38795.5 3540.63 17.7335 0 0 0 0 0 0 0 0 0 0 10 446.565
136 14.1698 2.27087e-05 0 0 2.27087e-05 14.8376 4.14828e+09 0 3.26102e+08 1.30038e+06 37.1304 38302.6 3464.97 18.9167 0 0 0 0 0 0 0 0 0 0 10 467.611
137 14.8376 1.27785e-05 0 0 1.27785e-05 15.5369 4.30558e+09 0 3.26103e+08 1.36878e+06 33.7509 37809.3 3390.57 20.1757 0 0 0 0 0 0 0 0 0 0 10 489.649
138 15.5369 7.02466e-06 0 0 7.02466e-06 16.2691 4.46589e+09 0 3.26104e+08 1.44016e+06 30.6719 37316.6 3317.47 21.5154 0 0 0 0 0 0 0 0 0 0 10 512.725
139 16.2691 3.76842e-06 0 0 3.76842e-06 17.0358 4.62915e+09 0 3.26104e+08 1.51462e+06 27.8683 36825.5 3245.66 22.9416 0 0 0 0 0 0 0 0 0 0 10 536.889
140 17.0358 1.97053e-06 0 0 1.97053e-06 17.8387 4.7953e+09 0 3.26104e+08 1.59229e+06 25.3168 36336.9 3175.21 24.4597 0 0 0 0 0 0 0 0 0 0 10 562.192
141 17.8387 1.00318e-06 0 0 1.00318e-06 18.6794 4.96429e+09 0 3.26104e+08 1.67328e+06 22.9959 35851.6 3106.13 26.0763 0 0 0 0 0 0 0 0 0 0 10 588.688
142 18.6794 4.96599e-07 0 0 4.96599e-07 19.5598 5.13605e+09 0 3.26104e+08 1.75775e+06 20.8858 35370.6 3042.14 27.7643 0 0 0 0 0 0 0 0 0 0 10 616.432
143 19.5598 2.3872e-07 0 0 2.3872e-07 20.4816 5.31053e+09 0 3.26104e+08 1.84582e+06 18.9682 34894.6 2991.57 29.4403 0 0 0 0 0 0 0 0 0 0 10 645.483
